,0
0,-4.992288560027842
1,-4.835558480767116
2,-4.736152598404009
3,-4.721977765581986
4,-4.751380727017217
5,-4.7520796105420775
6,-4.712116906383189
7,-4.6630349827315865
8,-4.680722546260591
9,-4.6697001580444
10,-4.658677769828212
11,-4.661359751901171
12,-4.662525739252472
13,-4.685783946586334
14,-4.709042153920196
15,-4.732300361254057
16,-4.755558568587919
17,-4.77881677592178
18,-4.802074983255641
19,-4.825333190589501
20,-4.818640996815316
21,-4.81194880304113
22,-4.805256609266943
23,-4.798564415492757
24,-4.791872221718573
25,-4.785180027944388
26,-4.7784878341702015
27,-4.7717956403960144
28,-4.774047526277986
29,-4.78742086433396
30,-4.800794202389936
31,-4.814167540445911
32,-4.827540878501888
33,-4.840914216557864
34,-4.85428755461384
35,-4.867660892669817
36,-4.881034230725794
37,-4.89440756878177
38,-4.907780906837747
39,-4.9211542448937236
40,-4.934527582949699
41,-4.950891591557343
42,-4.967255600164986
43,-4.983619608772629
44,-4.999983617380272
45,-4.999965006259084
46,-4.964952654222147
47,-4.929940302185211
48,-4.888972378988613
49,-4.8480044557920134
50,-4.807036532595414
51,-4.766068609398814
52,-4.739662167899531
53,-4.7132557264002495
54,-4.686849284900968
55,-4.660442843401688
56,-4.634036401902407
57,-4.607629960403127
58,-4.589109776997514
59,-4.570589593591901
60,-4.552069410186288
61,-4.533549226780676
62,-4.515029043375064
63,-4.496508859969452
64,-4.4779886765638395
65,-4.459468493158227
66,-4.440948309752615
67,-4.419872990651845
68,-4.398797671551074
69,-4.377722352450304
70,-4.356647033349534
71,-4.335571714248764
72,-4.322922311744779
73,-4.288506463045105
74,-4.285713010439802
75,-4.282919557834498
76,-4.280126105229195
77,-4.2775384477030896
78,-4.276762903644303
79,-4.278023821687743
80,-4.232518958941158
81,-4.249320391810804
82,-4.169660330996946
83,-4.178223349639478
84,-4.186786368282009
85,-4.170594297627474
86,-4.2018476348569145
87,-4.12970221300985
88,-4.007072722443617
89,-4.994092567909426
