,0
0,-6.096020399394165
1,-6.033988972078261
2,-6.062175415797942
3,-6.06159711508377
4,-6.088821722613862
5,-6.088178530728904
6,-6.084918915179429
7,-6.081659299629956
8,-6.078399684080482
9,-6.07514006853101
10,-6.071880452981539
11,-6.084259713703701
12,-6.085814038764459
13,-6.087368363825217
14,-6.0340452808527
15,-6.034193570449764
16,-6.034341860046828
17,-6.034490149643891
18,-6.058552091057675
19,-6.082614032471459
20,-6.106675973885244
21,-6.130737915299027
22,-6.154799856712811
23,-6.178861798126594
24,-6.202923739540377
25,-6.22698568095416
26,-6.230087691807801
27,-6.233189702661445
28,-6.2362917135150875
29,-6.140451086248962
30,-6.1421239862247194
31,-6.02960113053286
32,-6.029846467438472
33,-6.030091804344086
34,-6.030337141249699
35,-6.0305824781553135
36,-6.030827815060927
37,-6.03107315196654
38,-5.9255230836332995
39,-5.927496976369968
40,-5.929470869106634
41,-6.012848468664279
42,-6.011003376367008
43,-5.978000679965248
44,-6.090854437796267
45,-6.091788500818246
46,-5.986054397414256
47,-5.92748166225237
48,-5.869470026886704
49,-5.815389005968826
50,-5.761307985050947
51,-5.707226964133068
52,-5.653145943215191
53,-5.599064922297313
54,-5.595402087376414
55,-5.592097732265435
56,-5.485806029347569
57,-5.457082704058242
58,-5.428359378768915
59,-5.320448220025654
60,-5.260292292677723
61,-5.224253171847154
62,-5.188214051016587
63,-5.10124351254551
64,-5.048235786011026
65,-4.9920205619611755
66,-4.994262692552243
67,-4.938158403654826
68,-4.992639307570011
69,-5.043848342373579
70,-5.008776920655677
71,-5.115635302009196
72,-5.134098829453857
73,-5.120244926487221
74,-5.156306398297821
75,-5.232139238636335
76,-5.211547851757569
77,-5.267439771140018
78,-5.373100769063783
79,-5.419519751995146
80,-5.465938734926508
81,-5.489629511010305
82,-5.513320287094102
83,-5.537011063177898
84,-5.5394542857115265
85,-5.595690173460785
86,-5.688592730503211
87,-5.481306138075957
88,-5.595878764261746
89,-6.0926227499455985
